name,O,OH,U_param,spin,oxidation_states_A,oxidation_states_B,electronegativity_A,electronegativity_B,Tolerance_factor,Octahedral_factor,ionic_ration_AO,ionic_ration_BO,Diff_A_O,Diff_B_O,Z_1,atomic_radius_1,mendeleev_no_1,common_oxidation_states_1,X_1,thermal_conductivity_1,average_ionic_radius_1,atomic_orbitals_1,s_filling,s_center,s_sigma_c,s_skewness,s_kurtosis,dz2_filling,dz2_center,dz2_sigma_c,dz2_skewness,dz2_kurtosis,dzx_filling,dzx_center,dzx_sigma_c,dzx_skewness,dzx_kurtosis,dzy_filling,dzy_center,dzy_sigma_c,dzy_skewness,dzy_kurtosis,dx2_y2_filling,dx2_y2_center,dx2_y2_sigma_c,dx2_y2_skewness,dx2_y2_kurtosis,dxy_filling,dxy_center,dxy_sigma_c,dxy_skewness,dxy_kurtosis,pz_filling,pz_center,pz_sigma_c,pz_skewness,pz_kurtosis,px_filling,px_center,px_sigma_c,px_skewness,px_kurtosis,py_filling,py_center,py_sigma_c,py_skewness,py_kurtosis,eg_ratio
Li2Rh2O6,3.33283801,,0,1,2,3,0.98,2.28,0.761770896,0.591269841,0.714285714,0.591269841,-2.46,-1.16,14.4,0.92,76,-0.4,2.716,47.015948,1.085,-1.1090262,0.837606675,-36.35849318,21.15166862,1.824901435,4.447622369,0.544340771,-2.456900101,6.963672829,-0.313899212,3.411122499,0.689434079,-0.148003592,7.539280769,1.853021319,5.369397023,0.686936585,-0.112888113,7.596229703,1.849234699,5.340205424,0.528564491,-2.559248352,6.823913419,-0.425856264,3.284869498,0.691442541,-0.140471743,7.545938524,1.850889488,5.36604933,0.652963966,0.751574626,6.41550415,1.631883378,5.030707996,0.57479874,0.120460217,7.975328552,0.991604598,2.876863948,0.656215631,0.800504743,6.509624803,1.653326509,5.116501905,0.345543912
BaRbCo2O6,1.03780101,,3.32,2,3,2,0.855,1.88,0.988322625,0.60978836,1.25,0.60978836,-2.585,-1.56,19.5,1.08,75.7,-0.5,2.611,27.615948,1.224666667,-0.6891184,0.821961666,-17.26479639,13.77393563,1.637960843,3.886916468,0.598887897,-2.282724609,4.458966733,-0.480049108,4.246345874,0.776973538,-2.650362002,3.059767996,1.113823079,6.370696886,0.778509345,-2.639934125,3.083707148,1.156780252,6.555727052,0.61830278,-2.327056032,4.391269728,-0.582264166,4.157801166,0.775251754,-2.648686756,3.06292828,1.117635858,6.377237442,0.722417524,0.058297922,4.339690572,1.664603226,5.78925598,0.707644186,-1.237545932,4.753443906,1.452133585,4.790322309,0.727039742,-0.033916027,4.218684676,1.699949394,6.12645948,0.355218778
BaRbCo2O6,1.03780101,,3.32,2,3,2,0.855,1.88,0.988322625,0.60978836,1.25,0.60978836,-2.585,-1.56,19.5,1.08,75.7,-0.5,2.611,27.615948,1.224666667,-0.6891184,0.821961666,-17.26479639,13.77393563,1.637960843,3.886916468,0.598887897,-2.282724609,4.458966733,-0.480049108,4.246345874,0.776973538,-2.650362002,3.059767996,1.113823079,6.370696886,0.778509345,-2.639934125,3.083707148,1.156780252,6.555727052,0.61830278,-2.327056032,4.391269728,-0.582264166,4.157801166,0.775251754,-2.648686756,3.06292828,1.117635858,6.377237442,0.722417524,0.058297922,4.339690572,1.664603226,5.78925598,0.707644186,-1.237545932,4.753443906,1.452133585,4.790322309,0.727039742,-0.033916027,4.218684676,1.699949394,6.12645948,0.355218778
RbEuTi2O6,3.06698501,0.272366695,0,1,3,4,1.01,1.54,0.900514717,0.675925926,1.134325397,0.675925926,-2.43,-1.9,19.2,1.06,73.5,-0.1,2.574,11.615948,1.212183333,-0.6826861,0.979623321,-30.04750764,7.043258422,4.781800516,28.89840553,0.387657854,0.710336495,5.745489793,-1.379407303,4.657059542,0.146430082,2.286633473,2.430533615,-1.657831846,5.818191452,0.142842014,2.299660256,2.440973266,-1.629498927,5.748123522,0.402363081,0.989787319,5.87196617,-1.312958919,4.494660744,0.145512656,2.279677443,2.422080049,-1.683406823,5.879613907,0.789962287,-1.334098413,2.433249118,0.260990171,9.34845026,0.908695261,-2.646067071,3.301110833,-2.281218899,34.20675002,0.793370265,-1.331323996,2.440019842,0.275494937,9.315998267,0.586470813
BaTlTi2O6,3.44063301,-0.858942305,0,1,3,4,1.255,1.54,0.894487288,0.675925926,1.120039683,0.675925926,-2.185,-1.9,22.9,1.045,80,-0.1,2.623,10.815948,1.208583333,-0.5966371,0.889937736,-13.43755494,3.837741396,2.18586288,17.12050269,0.259088948,2.586173158,5.3003272,-1.722814547,6.08688833,0.145573768,2.14698924,2.264466181,-1.767000506,6.283120788,0.14153697,2.158296064,2.276128162,-1.729992693,6.192869462,0.277675354,2.579699729,5.289812705,-1.740380511,6.10459423,0.144778745,2.135302375,2.253938256,-1.800985347,6.365473959,0.769503254,-0.90190807,2.818297744,0.73137502,6.588390463,0.822804203,-1.723769038,3.997395441,-0.489226294,15.11199107,0.786030626,-0.981661031,2.721433308,0.686116974,7.130429972,0.581052713
BaSrCo2O6,1.45711801,0.211443695,3.32,2,4,2,0.92,1.88,0.929058129,0.60978836,1.115079365,0.60978836,-2.52,-1.56,19.6,1.045,76.3,-0.4,2.624,25.315948,1.190666667,-0.721145,0.805981711,-20.42432327,15.9218176,1.444868556,3.166211504,0.589976371,-2.230264233,4.586498862,-0.559567253,4.2503541,0.790478914,-2.717148719,2.909127723,0.760219108,4.898080891,0.792157874,-2.716207621,2.911093704,0.766650334,4.949421088,0.603509933,-2.280387296,4.510991969,-0.673864803,4.156849294,0.789362194,-2.714169772,2.915873783,0.772098775,4.927680563,0.729439238,-0.098047872,4.332396329,1.470386927,5.307891389,0.708502999,-1.652665387,4.440548714,1.364838845,4.859784056,0.735989901,-0.198962339,4.20396532,1.492811627,5.595685935,0.348476241
KCaCo2O6,2.49163201,-1.250660305,3.32,2,3,2,0.91,1.88,0.902912028,0.60978836,1.055555556,0.60978836,-2.53,-1.56,14.1,1.03,76,-0.5,2.622,50.015948,1.175666667,-0.5867392,0.829470756,-24.87294694,16.71614644,1.726458131,4.250656927,0.61061177,-2.495366536,4.835841008,-0.650204358,4.026261292,0.793068007,-2.815257825,3.08541338,0.855563304,5.420087967,0.794994182,-2.81949204,3.072262916,0.821032929,5.248431682,0.615275212,-2.518865262,4.799343256,-0.700397779,3.999837601,0.791480764,-2.810748281,3.09692665,0.878234368,5.499971863,0.728425438,-0.255798203,4.315169542,1.679348643,6.003286674,0.713096313,-1.950425092,4.514332849,1.389300673,5.223106843,0.727155295,-0.217802214,4.380928314,1.69117991,5.988453165,0.356587821
SrTlCo2O6,3.12186501,,3.32,2,3,2,1.285,1.88,0.901604723,0.60978836,1.052579365,0.60978836,-2.155,-1.56,22.1,1.02,82.7,-0.5,2.697,28.115948,1.174916667,-0.7377503,0.782729348,-14.56577614,9.390022115,0.807878763,5.289810422,0.56512499,-2.075154098,4.687843974,-0.89156215,4.262951264,0.80452736,-2.636526813,2.655522909,0.466234072,3.914302057,0.806019952,-2.646814614,2.629896395,0.389970874,3.575699333,0.572957499,-2.079476899,4.677620458,-0.906664821,4.268339025,0.804835079,-2.634614623,2.659825419,0.475033034,3.928524322,0.756493106,-0.681668703,3.742623415,1.342302891,5.584306248,0.740524513,-2.533178144,3.596411142,0.99271766,4.061577044,0.7546407,-0.607878352,3.84593573,1.349144472,5.388276928,0.335702361
KRbCo2O6,3.27109801,-0.218113305,3.32,2,2,2,0.82,1.88,0.993551845,0.60978836,1.261904762,0.60978836,-2.62,-1.56,15.8,1.085,75.3,-0.6,2.604,35.815948,1.227666667,-0.6861032,0.85882529,-19.63341813,13.10300855,1.977542453,5.00343781,0.604973188,-2.339846056,4.580780543,-0.491248835,4.288278962,0.770791126,-2.610889166,3.217878728,1.299968995,7.109041836,0.772297464,-2.601384138,3.238013606,1.326510515,7.199004123,0.622012051,-2.386914927,4.507611898,-0.601857577,4.183797295,0.768248034,-2.606716293,3.227931678,1.314838346,7.161269973,0.706128955,0.084669882,4.43157197,1.83000283,6.130381108,0.70877233,-1.336382076,4.830894384,1.488239257,4.94575283,0.708611451,0.019610792,4.351255063,1.872854283,6.440261452,0.359698572
KBaCo2O6,1.68884501,-2.243471305,3.32,2,3,2,0.855,1.88,0.963919597,0.60978836,1.194444444,0.60978836,-2.585,-1.56,17.7,1.065,75.8,-0.5,2.611,31.815948,1.210666667,-0.5844948,0.830503805,-19.08498151,14.13123553,1.695972821,4.031549659,0.596488867,-2.332071189,4.554625677,-0.51036773,4.269075372,0.774142058,-2.711111519,3.029067365,0.986131846,5.796362139,0.775914868,-2.705106121,3.04289629,1.015815161,5.94767362,0.61380058,-2.382392995,4.47738764,-0.628122391,4.161901951,0.772316894,-2.709522126,3.031598946,0.986913997,5.776559339,0.717512705,-0.014361062,4.33491184,1.658870993,5.821570607,0.705097481,-1.485840955,4.61137107,1.439797556,4.947868345,0.72253198,-0.109994191,4.207234685,1.690422545,6.151193304,0.355989235
